property_name,pType_id,tedadTabaghe,property_size,address,tedadKoleTabaghat,TabagheDarVahed,bedrooms,lowest_price,VaziatBana,Jahat,nama,KafPush,ServiceKitchen,garage,VorudiMoshtarak,long_desc,amenities_id,property_slug,property_code,property_status,house_mortgage,rent,property_thumbnail,short_desc,bathrooms,property_video,latitude,longitude,featured,hot,agent_id,status,foundation_size
50,1,2,200,خیابان امام رضا,,,1,2150000000,بتونی,جنوبی,اجرنما,,,1,1,یک خواب پایین  یک خواب بالا  بدون کاغذ قیمت  فعلا بدون فیلم و عکس  آدرس حدودی,6,50,50,buy,0,0,,,,,,,,,1,1,
51,1,2,333,خیابان فرخی,,,2,3000000000,بتونی,شمالی جنوبی شرقی,,,,1,1,دو خواب بالا  دو خواب پایین  معاوضه با خانه کوچکتر تا 2 میلیارد در همان منطقه,6,51,51,buy,0,0,,,,,,,,,1,1,
57,6,2,108,فلکه بسیج,,2,2,1780000000,بتونی,شمالی,اجرنما,سرامیک,MDF,1,,برگه قیمت: ابراهیم پورنمازیان  تاریخ:1401/8/1,6,57,57,buy,0,0,,,,,,,,,1,1,
58,8,0,280,روبرو هنرستان پارسا,,,,0,بتونی,شرقی,,,,,1,سوئیت کامل-دفترکار-5 مغازه-سرویس دستشویی و حمام-فاز کشاورزی,6,58,58,buy,0,0,,,,,,,,,1,1,
66,1,1,130,خیابان منتظری شمالی,,,2,2550000000,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,,کناف کاری  نوساز  بدون کاغذ قیمت  1 خواب سرپله  ,6,66,66,buy,0,0,,,,,,,,,1,1,
67,2,0,135,بلوار شهدای غربی,,,,810000000,1600000000,جنوبی,,,,,,معرف گچی  با کاغذ قیمت:املاک متین,6,67,67,buy,0,0,,,,,,,,,1,1,
68,2,0,1000,ویلاشهر-پارک کبیرزاده,,,,1900000000,2550000000,شمالی,,,,,,نیم ساعت آب چاه  نیم ساعت آب کانال  دو طرف دیوار کاه گلی  چهار دیواری با درب  سند تک برگ,6,68,68,buy,0,0,,,,,,,,,1,1,
69,1,1,251,خیابان دلگشا,,,2,2200000000,کلنگی,جنوبی,کاهگلی,موزاییک,,,1, مناسب برای انبار  بدون کاغذ قیمت,6,69,69,buy,0,0,,,,,,,,,1,1,
70,2,0,260,شهرک سعیدفر,,,,1260000000,1900000000,شمالی,,,,,,بدون کاغذ قیمت  سند تک برگ,6,70,70,buy,0,0,,,,,,,,,1,1,
71,1,2,175,خیابان شریعتی,,,2,3330000000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,برگه کارشناسی از ابراهیم عبدالعظیمی  پکیج  معاوضه با ویلاشهر یا منتظری شمالی  بدون عکس و فیلم,6,71,71,buy,0,0,,,,,,,,,1,1,
76,4,0,413,بلوار ایزدی,,,,3570000000,1264000000,شرقی,کاهگلی,موزاییک,MDF,,1,30 دقیقه آب چاه  پمپ استخر  شومینه  توالت  انباری  تخفیف نقدی  آبنما  معاوضه  تسویه حساب شهرداری  با کاغذ قیمت:ابراهیم پورنمازیان,6,76,76,buy,0,0,,,,,,,,,1,1,
77,2,0,163,15 خرداد,,,,978000000,7997350000,جنوبی,,,,,,کوچه 8 متری-طرح باغات  یه پلاک قبل مغازه ها  بدون کاغذ قیمت,6,77,77,buy,0,0,,,,,,,,,1,1,
78,1,0,524,خیابان رجایی جنوبی,,,4,7510000000,آهن,شمالی,سنگ و آجر,موزاییک,فلز,1,1,دو خواب در طبقه اول دو خواب سر پله  زیرزمین  دو کولر  موکت و پرده  بدون عکس و فیلم  با کاغذ قیمت: ابراهیم پورنمازیان,6,78,78,buy,0,0,,,,,,,,,1,1,
79,1,0,138,خیابان معرفت,,,3,3470000000,نیمه اسکلت,جنوبی,اجرنما,موزاییک,آلمینیوم,1,1,دو خواب سرپله  با تسویه شهرداری  بالابر  با کاغذ قیمت: مهدی خانیان  بدون عکس و فیلم  ,6,79,79,buy,0,0,,,,,,,,,1,1,
80,1,0,150,خیابان منتظری جنوبی,,,,1800000000,7509192500,شمالی,,,,,,کلنگی(قابل سکونت)  2 متر عقب نشینی  معرف امید مرادی  بدون کاغذ قیمت  بدون عکس و فیلم,6,80,80,buy,0,0,,,,,,,,,1,1,
83,2,0,180,خیابان منتظری جنوبی,,,,800000000,6200000000,شمالی,,,,,,نقدی تخفیف دارد  بدون کاغذ قیمت,6,83,83,buy,0,0,,,,,,,,,1,1,
84,4,0,1550,جلال آباد-میانکوه,,,1,3430000000,3200000000,جنوبی,,پارکت,MDF,1,1,برق فرعی  با کاغذ قیمت  دیوار کشی  امکانات منزل  22/5 دقیقه آب  قابل معاوضه  پمپ و استخر  انباری  ساخت و کابینت  سیستم حفاظتی  با عکس و بدون فیلم,6,84,84,buy,0,0,,,,,,,,,1,1,
87,1,1,180,خیابان شهدا,,,2,2380000000,بتونی,جنوبی,سنگ,سنگ,MDF,1,1,3دانگ و قابل تفکیک  18 پله دارد  نوساز  بدون کاغذ قیمت  معاوضه با زمین قابل ساخت,6,87,87,buy,0,0,,,,,,,,,1,1,
90,4,0,1000,بلوارخرمشهر,,,2,4200000000,4500000000,غربی,سیمان سیاه,موزاییک,سنگ و فلز,,1,برق فرعی-استخر-1 ساعت آب چاه-ساخت90متری-دو خواب-حمام و سرویس بهداشتی-150 اصله درخت-دو پمپ  با کاغذ قیمت,6,90,90,buy,0,0,,,,,,,,,1,1,
91,4,0,1400,گلدشت-خیابان منتظری,,,,5300000000,2525320000,شمالی,اجرنما,موزاییک,MDF,1,1,آب چاه 42 دقیقه-آب کانال25دقیقه-گازفرعی-برق تجاری-جدول بندی-فضای سبز-استخر-دوتا ساخت-آب نما-کولر-آب انبار-باربیکیو-معاوضه با منزل 3خوابه-با دفترچه کشاورزی- بدون کاغذ قیمت-آب انبار 4/5*10/5*4/5,6,91,91,buy,0,0,,,,,,,,,1,1,
92,4,0,720,ویلاشهر-بلوار معلم,,,1,3530000000,4200000000,شمالی,سیمان سیاه,موزاییک,MDF,,1,با کاغذ قیمت-سندمشا-جدول بندی-فضای سبز-کباب پز-اسباب بازی-اسپیلیت-دوربین-دزدگیر-درب برقی-استخر-30 دقیقه آب-واترپمپ-تانک آب-برق فرعی,6,92,92,buy,0,0,,,,,,,,,1,1,
97,2,0,367,خیابان بوستان زندگی غربی,,,,2510000000,,جنوبی,,,,,,دیوار کشی - با کاغذ قیمت (خانیان),6,97,97,buy,0,0,,,,,,,,,1,1,
98,2,0,156,بلوار جمهوری,,,,998000000,,شمالی,,,,,,شماره تماس و معرف آقای گچی  کاربری باغ  با کاغذ قیمت(ابراهیم پورنمازیان),6,98,98,buy,0,0,,,,,,,,,1,1,
99,1,0,209,خیابان گلبهار,,,3,2360000000,آهن,جنوب شرقی,اجرنما,,,1,1,معرف و شماره تماس: میثم جلالی  تسویه شهرداری  سند 6 دانگ  بدون فیلم و عکس  با کاغذ قیمت(مهدی خانیان)  مثل خانه قدیمی و آفتاب رو دارد,6,99,99,buy,0,0,,,,,,,,,1,1,
100,1,0,145,خیابان فرخی,2,,4,3730000000,بتونی,شمالی,اجرنما,موزاییک,سنگ و فلز,1,1,طبقه اول یک خواب  طبقه دوم دو خواب  یک بهار خواب  قابل معاوضه با خانه هواری  برگه شهرداری  دوکولر-آیفون تصویری-دزدگیر  کاغذ قیمت(ابراهیم پورنمازیان),6,100,100,buy,0,0,,,,,,,,,1,1,
101,5,0,31,خیابان سعدی,,,,1050000000,2361000000,شمال غربی,,,,,,معاوضه با زمین تا 800 میلیون  معاوضه با منزل تا یک میلیارد و پانصد میلیون  با کاغذ قیمت(مهدی پورنمازیان - 1401/8/9)  بدون عکس و فیلم,6,101,101,buy,0,0,,,,,,,,,1,1,
103,4,0,740,قلعه سفید,,,,2100000000,1052600000,شرقی,,,,,,آب کانال 45 دقیقه  آب چاه 30 دقیقه  درخت آلوچه  دیوارکشی دارد  ساخت ندارد  بدون کاغذ قیمت  بدون فیلم و عکس  ,6,103,103,buy,0,0,,,,,,,,,1,1,
104,1,0,118,15 خرداد,2,,2,2400000000,1126800000,شمالی,اجرنما,موزاییک,MDF,,1,با تسویه شهرداری  با کاغذ قیمت(مهدی خانیان - 1401/8/10  معاوضه با همکف  یک خواب بالا  یک خواب پایین,6,104,104,buy,0,0,,,,,,,,,1,1,
105,2,0,184,پشت ارگ,,,,2000000000,2100000000,شمالی,,,,,,کوچه ده متری  بدون کاغذ قیمت  همکار,6,105,105,buy,0,0,,,,,,,,,1,1,
106,4,0,657,بلوار جانبازان,,,,3630000000,آهن,جنوبی غربی,سیمان سیاه,موزاییک,فلز,1,1,3 خواب همکف - یک خواب سرپله  با کاغذ قیمت(مهدی خانیان - 1401/8/29)  با تسویه شهرداری  با گلخانه  قبل فروش باید خانه خریداری کنند و بعد بفروشند    ,6,106,106,buy,0,0,,,,,,,,,1,1,
108,1,0,150,خیابان معرفت,,,2,3800000000,نوساز,جنوبی,سنگ,سرامیک,های گلاس,1,1,درب ضد سرقت  فول کناف  سیستم کولر گازی بدون کولر  بدون تلفن  خیابان 14 متری  حمام مستر  کمد دیواری در دو اتاق  بدون کاغذ قیمت  همکار امید  8/70*17/20  تکمیل شده و کامل,6,108,108,buy,0,0,,,,,,,,,1,1,
110,1,2,135,خیابان فرخی,,,2,0,,,,,,,,,6,110,110,buy,0,0,,,,,,,,,1,1,
111,1,2,135,خیابان فرخی,,,2,0,,,,,,,,,6,111,111,buy,0,0,,,,,,,,,1,1,
112,1,2,135,خیابان فرخی,,,2,0,,,,,,,,,6,112,112,buy,0,0,,,,,,,,,1,1,
113,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,113,113,buy,0,0,,,,,,,,,1,1,
114,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,114,114,buy,0,0,,,,,,,,,1,1,
115,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,115,115,buy,0,0,,,,,,,,,1,1,
116,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,116,116,buy,0,0,,,,,,,,,1,1,
117,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,117,117,buy,0,0,,,,,,,,,1,1,
118,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,118,118,buy,0,0,,,,,,,,,1,1,
119,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,119,119,buy,0,0,,,,,,,,,1,1,
120,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,120,120,buy,0,0,,,,,,,,,1,1,
121,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,121,121,buy,0,0,,,,,,,,,1,1,
122,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,122,122,buy,0,0,,,,,,,,,1,1,
123,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,123,123,buy,0,0,,,,,,,,,1,1,
124,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,124,124,buy,0,0,,,,,,,,,1,1,
125,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,125,125,buy,0,0,,,,,,,,,1,1,
126,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,126,126,buy,0,0,,,,,,,,,1,1,
127,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,127,127,buy,0,0,,,,,,,,,1,1,
128,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,128,128,buy,0,0,,,,,,,,,1,1,
129,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,129,129,buy,0,0,,,,,,,,,1,1,
130,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,130,130,buy,0,0,,,,,,,,,1,1,
131,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,131,131,buy,0,0,,,,,,,,,1,1,
132,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,132,132,buy,0,0,,,,,,,,,1,1,
133,1,0,135,خیابان فرخی,2,,2,0,,,,,,,,,6,133,133,buy,0,0,,,,,,,,,1,1,
135,4,0,1100,خیابان امام غربی,,,,3110000000,3800000000,شمالی,,,,,1,با کاغذ قیمت(مهدی خانیان - 1401/7/24)  درخت  استخر  30 دقیقه آب چاه  بدون فیلم و عکس  ساخت ندارد,6,135,135,buy,0,0,,,,,,,,,1,1,
136,1,0,162,بلوار فجر,2,,5,4360000000,نیمه اسکلت,شمالی,اجر زبره,سرامیک,MDF,,1,3 خواب بالا  1 خواب پایین  با کاغذ قیمت(مهدی  خانیان 1401/8/28)  قیمت جدید(1402/2/19 مهدی خانیان)  با تسویه شهرداری  1 اتاق سرپله(انباری)  کولر  راه پله,6,136,136,buy,0,0,,,,,,,,,1,1,
137,1,0,168,خیابان نمازی,2,,2,3800000000,بتونی,شمالی,اجرنما,سنگ,سنگ و فلز,,1,با کاغذ قیمت: مهدی خانیان1401/9/6  یک خواب همکف  یک خواب سرپله  یک اتاق کنار پشت بام به عنوان انباری  با تسویه شهرداری,6,137,137,buy,0,0,,,,,,,,,1,1,
139,2,0,500,بلوار الغدیر,,,,1110000000,3800000000,غربی,,,,,,با کاغذ قیمت(مهدی خانیان - 1401/7/24)  8 دقیقه آب کانال  ,6,139,139,buy,0,0,,,,,,,,,1,1,
140,1,0,161,خیابان شریعتی,2,,5,2040000000,سفت کاری شده,شمالی جنوبی,اجر زبره,,,1,1,با تسویه شهرداری  تیغه چینی  درب و دیوار و چنجره چینی  با کاغذ قیمت(بهزاد سلیمانی - بدون تاریخ)  سفتکاری  2 خواب همکف  3 خواب بالا,6,140,140,buy,0,0,,,,,,,,,1,1,
141,1,0,129,خیابان منتظری شمالی,3,,,2600000000,سفت کاری شده,جنوبی,,,,1,1,قیمت شده توسط مهدی خانیان(کاغذ در بنگاه موجود نیست)  بدون فیلم و عکس  با تسویه شهرداری  ,6,141,141,buy,0,0,,,,,,,,,1,1,
142,1,0,163,خیابان حججی,2٫5,,4,2660000000,سفت کاری شده,شمالی,,,,,1,با کاغذ قیمت(مهدی پورنمازیان - 1401/7/21)  سفتکاری  دو خواب همکف  دو خواب طبقه اول  نیم طبقه  بالا طبقه اول  ,6,142,142,buy,0,0,,,,,,,,,1,1,
143,1,0,379,خیابان امیرکبیر,,,2,4090000000,کلنگی,غربی,اجرنما,موزاییک,سنگ و فلز,,1,پخ 11.30 به 3 متر دارد  کاغذ قیمت از مهدی پورنمازیان به تاریخ 1401/7/23  بدون عکس و فیلم  کولر و آلاچیق فلزی,6,143,143,buy,0,0,,,,,,,,,1,1,
144,2,0,162,خیابان امام رضا,,,,972000000,2657120000,جنوبی,,,,,,یا کاغذ قیمت: ابراهیم پورنمازیان 1401/8/14  تسویه شهرداری  کاربری باغ,6,144,144,buy,0,0,,,,,,,,,1,1,
146,2,0,138,بلوار ولی عصر,,,,2500000000,972000000,جنوبی,,,,,,بدون کاغذ قیمت  قابلیت تجاری  معاوضه با منزل,6,146,146,buy,0,0,,,,,,,,,1,1,
147,2,0,1101,بلوار دانشگاه,,,,2900000000,1349000000,جنوبی,,,,,,با کاغذ قیمت: مهدی پورنمازیان-1401/8/1  برق دارد  مجوز تفکیک شهرداری  دیوار یک طرف  سند تک برگ  معاوضه با آپارتمان تا حدود یک میلیارد و سیصد میلیون  ,6,147,147,buy,0,0,,,,,,,,,1,1,
148,1,0,95,چهارباغ,2,,4,2110000000,بتونی,شمالی,سنگ,سرامیک,MDF,,1,با کاغذ قیمت: بهزاد سلیمانی(1401/8/29)  دو خواب پایین  دوخواب بالا  طبقه بالا سفتکاری  درب نرده  تسویه شهرداری,6,148,148,buy,0,0,,,,,,,,,1,1,
150,1,0,143,خیابان معرفت,2,,3,5000000000,بتونی,جنوبی,سنگ,سرامیک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/8/29)  با تسویه شهرداری  تراس بالا  تانک و پمپ  پرده و کولر  یک خواب پایین  دو خواب بالا  دزدگیر  درب برقی,6,150,150,buy,0,0,,,,,,,,,1,1,
151,1,0,399,خیابان معرفت,2,,3,10000000000,نوساز,شمالی,سنگ,سرامیک,های گلاس,1,1,بدون کاغذ قیمت  قیمت تقریبی  3 خواب همکف  1 اتاق سرپله  پکیج-کولر-حمام مستر  آبنما-کمد دیواری  فروش نقد یا معاوضه با ملک قابل قبول مالک  برق سه فاز  آب و آتش  زیرزمین  نورپردازی  ,6,151,151,buy,0,0,,,,,,,,,1,1,
152,1,0,214,خیابان شیخ بهایی جنوبی,,,2,20900000000,آهن,شمالی,اجرنما,موزاییک,MDF,,1,باکاغذقیمت(ابراهیم پورنمازیان-1401/4/12)  کولر-شیروانی-آبگرمکن  زیرزمین,6,152,152,buy,0,0,,,,,,,,,1,1,
154,1,0,183,خیابان دلگشا,2,,2,2780000000,بتونی,شمالی,اجرنما,موزاییک,فلز,,1,با کاغذ قیمت(حشمت الله خاکی-1401/6/20)  با تسویه شهرداری  با کولر  یک خواب پایین  یک خواب بالا  یک اتاق سرپله  زیرزمین,6,154,154,buy,0,0,,,,,,,,,1,1,
156,4,0,840,خیابان خرم غربی,,,3,13000000000,بتونی,شمالی,سنگ,موزاییک,MDF,,,بدون کاغذ قیمت  30 دقیقه آب چاه  دوربین  دزدگیر-پرده-پکیج-ابگرمکن  استخر-درب و شیشه دوجداره-کمددیواری  پمپ و آبنما  عرض باغ کوچک و بزرگ است,6,156,156,buy,0,0,,,,,,,,,1,1,
157,1,0,109,خیابان منتظری شمالی,2,,3,3080000000,بتونی,جنوبی,سنگ,سرامیک,MDF,,1,با کاغذ قیمت(مهدی پورنمازیان-1401/6/24)  یک خواب بالا  دو خواب پایین  ساخت مربوط به سال98  پرده-هود-پکیج-کف خواب  نرده و حیاط سازی  خریدار منزل همکف سه خواب,6,157,157,buy,0,0,,,,,,,,,1,1,
158,2,0,200,خیابان شهدا,,,,1600000000,1500000000,شرقی,,,,,,کاغذ قیمت(مهدی خانیان-1401/9/7),6,158,158,buy,0,0,,,,,,,,,1,1,
159,2,0,200,بلوار ایزدی,,,,1500000000,3358000000,جنوبی,,,,,,با کاغذ قیمت(1401/9/7مهدی خانیان),6,159,159,buy,0,0,,,,,,,,,1,1,
160,2,0,365,بلوار جمهوری,,,,3360000000,2963049999,شمالی,,,,,,با کاغذ قیمت(بهزاد سلیمانی-1401/4/20)  بر 5 متر و 12 متر هم هست,6,160,160,buy,0,0,,,,,,,,,1,1,
161,5,0,34,خیابان شریعتی,,,,2960000000,آهن,شمالی,,,,,,با کاغذ قیمت(حشمت الله خاکی-1401/8/22)  بدون فیلم و عکس  همکف و زیر زمین انباری,6,161,161,buy,0,0,,,,,,,,,1,1,
162,1,0,147,بلوار فجر,2,,3,3340000000,بتونی,جنوبی,اجرنما,موزاییک,سنگ و فلز,1,1,کاغذ قیمت(مهدی پورنمازی 7/12/1401  باتسویه شهرداری  تصفیه آب و آیفون تصویری  یک خواب بالا  دو خواب سرپله,6,162,162,buy,0,0,,,,,,,,,1,1,
164,2,0,206,خیابان امام رضا,,,,618000000,2800000000,غربی,,,,,,با کاغذ قیمت(ابراهیم عبدالعظیمی-1401/6/3)  ,6,164,164,buy,0,0,,,,,,,,,1,1,
165,1,0,207,خیابان شیخ بهایی جنوبی,2,,4,4300000000,بتونی,شمالی,سنگ,سرامیک,MDF,,1,با کاغذ قیمت(مهدی خانیان-1401/4/28)  با تسویه شهرداری  پکیج و شیرآلات  انباری  دو خواب پایین  دو خواب بالا,6,165,165,buy,0,0,,,,,,,,,1,1,
167,2,0,152,خیابان مجاهد شمالی,,,,608000000,,جنوبی,,,,,,با کاغذ قیمت(ابراهیم پورنمازیان-1401/1/23)  3 متر در مسیر - 8*19  با کاربری باغ,6,167,167,buy,0,0,,,,,,,,,1,1,
169,1,0,221,بلوار حجتی,2,,4,4490000000,بتونی,شمالی,سنگ,سرامیک,MDF,,1,با کاغذ قیمت(مهدی خانیان-1401/7/11)  با تسویه شهرداری  تانک و پمپ  دوربین  معاوضه با منزل و زمین مسکونی  کوچه ده متری  سه سال ساخت  سه خواب همکف  یک خواب بالا,6,169,169,buy,0,0,,,,,,,,,1,1,
171,1,0,194,بلوار فجر,,,4,6400000000,بتونی,شمالی,سنگ,پارکت,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/9/12)  ابراهیم پورنمازیان(1401/10/3)  با تسویه شهرداری  دو خواب همکف  دو خواب نیم طبقه بالا  دوبلکس هندی  معاوضه با منزل همکف و دو خواب نهایت تا سه میلیارد و دویست میلیون,6,171,171,buy,0,0,,,,,,,,,1,1,
172,2,0,232,فلکه بسیج,,,,1400000000,2776275000,شمالی,,,,,,کاغذ قیمت(مرتضی خانیان-1401/9/14)  معاوضه با خانه منتظری شمالی و تا حدود سه میلیارد و چهارصد,6,172,172,buy,0,0,,,,,,,,,1,1,
181,1,0,128,بلوار بهارستان,2,,3,2540000000,بتونی,جنوبی,سنگ,سرامیک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/9/16)  نوساز  دوبلکس  با تسویه شهرداری  تراس بالا  دو خواب بالا  یک خواب پایین  حمام مستر در خواب طبقه پایین  کمد دیواری  شیرآلات,6,181,181,buy,0,0,,,,,,,,,1,1,
182,2,0,722, جلال آباد-جنب چاه منتظری-دو نبش,,,,7790000000,608000000,شمالی غربی,,,,,,با کاغذ قیمت(مهدی محمدی1401/6/26)  زمین کشاورزی  درخت   آب چاه 15 دقیقه,6,182,182,buy,0,0,,,,,,,,,1,1,
183,5,0,93,خیابان شریعتی,,,,1630000000,4931850000,شمالی,,,,,,معرف و شماره تماس: میثم جلالی  با کاغذ قیمت(محسن صالحی-1401/5/24)  با تخفیف ویژه  اطلاعات ناقص,6,183,183,buy,0,0,,,,,,,,,1,1,
184,1,0,172,خیابان محمد رسول الله,2,,4,3330000000,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,کاغذ قیمت(ابراهیم پورنمازیان-1401/9/17)  کولر-پمپ-پرده  معاوضه با منزل همکف تا دو میلیارد و هشتصد میلیون  فروش نقدی تخفیف دارد  امتیازات دو واحدی  دو خواب همکف  دو خواب طبقه اول,6,184,184,buy,0,0,,,,,,,,,1,1,
185,1,0,175,بلوار اسرافیلیان,2,,2,3160000000,بتونی,جنوبی,اجرنما,موزاییک,MDF,1,1,با کاغذ قیمت(مهدی خانیان-1401/6/12)  با تسویه شهرداری  دو خواب طبقه بالا سرپله,6,185,185,buy,0,0,,,,,,,,,1,1,
