_MelkID,_MalekID,Masahat,TabagheCNT,MelkType,Mahdude,Address,Baygani,Tedad_KOL_Tabaghat,Tabaghe_darVahed,tedadkhab,MablaghForush,VaziatBana,Jahat,nama,KafPush,ServisKichen,Parking,VorudiMostaghrl,Tozihat
11,1111,235,2,ویلایی,خیابان 15 خرداد شمالی, خیابان 15 خرداد شمالی - کوچه شهید سلیمانی-پلاک12جنوبی,,,,2,,آهن,جنوبی,اجرنما,موزاییک,فلز,,1,ورودی مجزا
12,1212,85,2,آپارتمان,,خیابان کشاورز-کوچه صالحی-کنار درب مشکی رنگ-آپارتمان جنوبی-طبقه دوم-واحد5,درست,3,,2,,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,,گچ بری-کاغذدیواری-هرطبقه دو واحد-کمددیواری
13,1313,144,2,ویلایی,خیابان سعدی,خیابان سعدی-کوی ولایتی-پلاک30جنوبی,,2,,3,3٫47E+09,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,1,دوبلکس    طبقه اول یک خواب-طبقه دوم دو خواب
14,1414,90,1,ویلایی,خیابان فرخی,خیابان فرخی-کوچه سعادت-پلاک96,درست,,,1,1٫70E+09,آهن,جنوبی,اجرنما,موزاییک,فلز,,1,
15,1515,305,1,ویلایی,خیابان شریعتی شرقی,خیابان شریعتی شرقی-کوچه پورمحمدی-کوچه احسان-پلاک نبش شمالی شرقی,,,,3,4٫68E+09,بتونی,شمالی جنوبی شرقی,سیمان سیاه,سرامیک,فلز,1,1,معرف میثم جلالی  دارای کولر و پرده
16,1616,157,NULL,ویلایی,خیابان آیت الله منتظری شمالی,خیابان منتظری شمالی-کوچه شاهبنده-پلاک6 شمالی,,2,,2,3٫00E+09,آهن,شمالی,اجرنما,موزاییک,MDF,1,1,یک خواب طبقه پایین  نرخ نامه: ابراهیم پورنمازیان
17,1717,50,-1,مسکونی,خیابان شهدا,خیابان شهدا-کوچه نادری-بن بست شهید یوسفی-پلاک48,درست,,,1,,آهن,شرقی,اجر زبره,موزاییک,فلز,,,سوئیت یک خوابه-راه مشترک - یک طبقه بالا-دستشویی و حموم مشترک
18,1818,152,NULL,زمین,,بلوار فجر-انتهای بیست متری گلستان-بعد از پیچ-کوی فرعی,درست,,,,7٫45E+08,744800000,جنوبی,,,,,,کاغذ قیمت ندارد
19,1919,184,NULL,زمین,ارگ شیخ بهایی,پشت ارگ شیخ بهایی,,,,,8٫50E+08,850000000,شمالی غربی دو کله,,,,,,همکار امید مرادی  پا ساخت و امکانات
20,2020,207,NULL,زمین,ارگ شیخ بهایی,پشت ارگ شیخ بهایی,,,,,2٫07E+09,2070000000,شمالی,,,,,,آقای محمدی  همکار امید مرادی
21,19,,,,,,,,,,,,شمالی,,,,,,همکار آقای امید مرادی
22,19,,,,,,,,,,,,شمالی,,,,,,همکار امید مرادی
24,2121,256,NULL,زمین,خیابان معرفت,خیابان معرفت-کوچه گلستان,درست,,,,2٫69E+09,1880000000,جنوبی,,,,,,کاغذ قیمت(مهدی خانیان-1401/10/28)  
25,2222,160,NULL,زمین,بلوار ولی عصر,بلوار ولی عصر-کوی باران-پلاک جنوبی,,,,,1٫65E+09,2693250000,جنوبی,,,,,,با مجوز-معاوضه با منزل
26,2323,198,NULL,زمین,شهرک سعیدفر,شهرک سعیدفر,,,,,1٫30E+09,2500000000,شمالی,,,,,,کارشناسی به روز  کوچه 10 متری
27,23,,,,,,,,,,,,جنوبی,,,,,,تک برگ
28,22,,,,,,,,,,,,جنوبی,اجرنما,موزاییک,,1,1,کارشناسی به روز  فاقد عکس و فیلم
29,2424,220,NULL,زمین,بلوار فجر,بلوار فجر-خیابان ابوذر-کوچه فقهی,درست,,,,1٫36E+09,1820000000,شمالی,,,,,,کوچه 8 متری
30,24,,,,,,,,,,,,شمالی,,,,,,
31,24,,,,,,,,,,,,جنوبی,,,,,,
32,24,,,,,,,,,,,,شمالی,,,,,,سند 6 دانگ  دارای پروانه
33,24,,,,,,,,,,,,شمالی,,,,,,
34,24,,,,,,,,,,,,شمالی,,,,,,تجاری
36,2626,248,2,ویلایی,محمدرسول الله,خیابان محمدرسول الله-کوی کوثر-پلاک 10 شمالی,,,,2,5٫02E+09,بتونی,شمالی,اجرنما,موزاییک,MDF,1,1,طبقه دوم سفت کاری
37,2727,96,NULL,زمین,,بلوار فجر-بعد از مدرسه ملک-کوچه اول سمت راست,درست,,,,1٫12E+09,1650000000,شمالی,,,,,,آینده دار  همکار
38,27,,,,,,,,,,,,شمالی,,,,,,آینده دار  همکار
39,19,,,,,,,,,,,,جنوبی,,,,,,یک خواب پایین و یک خواب بالا    دوبلکس  همکار  بدون فیلمو عکس
40,2828,190,NULL,ویلایی,بلوار فجر,بلوار فجر-کوچه خیام-کوچه کبیرزاده  پلاک15,درست,,,2,2٫50E+09,آهن,جنوبی,,,,,,بدون فیلم و عکس  همکار
41,27,,,,,,,,,,,,جنوبی,,,,,,بدون عکس و فیلم  همکار
42,2929,180,2,ویلایی,بلوار فجر,بلوار فجر-کوچه بشارت-کوچه سنبل-پلاک2شمالی,درست,,,2,3٫50E+09,بتونی,شمالی جنوبی دو کله,,,,,,2خواب در هر طبقه  بدون عکس وفیلم  همکار
43,3030,108,2,ویلایی,خیابان 17 شهریور شرقی,بر خیابان 17 شهریورشرقی-نبش کوچه بهمن,,,,1,3٫25E+09,آهن,شمالی,اجرنما,موزاییک,,1,1, با کولر  مناسب انباری  قیمت ابراهیم پورنمازی مربوط به اسفند 1401  تخفیف نقدی
44,3131,148,2,ویلایی,بلوار ولی عصر,بلوار ولی عصر-کوچه محمدی-کوچه اول سمت چپ,,,,3,3٫00E+09,1100000000,جنوبی,,,,,,1 خواب پایین  2خواب بالا  دوبلکس   بدون عکس و فیلم  همکار
45,3232,120,NULL,ویلایی,خیابان شهدا,خیابان شهدا-کوچه حکیم صناعی-کوچه طاها,,,,2,2٫40E+09,3100000000,جنوبی,,,,,,نوساز  بدون عکس و فیلم  همکار
46,3333,133,NULL,ویلایی,بلوار فجر,بلوارفجر-کوچه فرخی شمالی-کوچه اول سمت راست-کوی صحرا,,,,2,2٫80E+09,1344000000,شمالی,,,,,,نوساز  بدون عکس و فیلم
47,3434,90,-60,ویلایی,خیابان دانش,آخر خیابان دانش-کوی ظفر-پلاک3 شمالی,درست,,,1,,آهن,شمالی,اجرنما,موزاییک,فلز,1,1,کولر گازی-بخاری-حیاط20 متری موتور رو  رهن ثابت  اجاره تخفیف
48,3535,114,1,ویلایی,خیابان معرفت,خیابان معرفت-کوچه ذبحی-کوچه ملکی-جنب هشت بهشت-پلاک84  جنوب غربی,,,,2,2٫30E+09,بتونی,جنوبی غربی,اجرنما,سرامیک,MDF,1,1,دارای دو ورودی  دو نبش  برگ قیمت: ابراهیم عبدالعظیمی
49,3636,240,NULL,زمین,بلوار فجر,بلوار فجر-روبروی مسجد فاطمیه(کوچه سوپری),درست,,,,5٫28E+09,1263000000,شمالی,,,,,,قیمت کارشناسی  
50,3737,200,2,ویلایی,شهرک سعیدفر,شهرک سعیدفر-خیابان امام رضا-کوی  یزدان   ,,,,1,2٫15E+09,بتونی,جنوبی,اجرنما,,,1,1,یک خواب پایین  یک خواب بالا  بدون کاغذ قیمت  فعلا بدون فیلم و عکس  آدرس حدودی
51,3838,333,2,ویلایی,,خیابان فرخی-کوچه رز-نبش جنوبی-- شرقی,,,,2,3٫00E+09,بتونی,شمالی جنوبی شرقی,,,,1,1,دو خواب بالا  دو خواب پایین  معاوضه با خانه کوچکتر تا 2 میلیارد در همان منطقه
53,27,,,,,,,,,,,,شمالی,,,,,,همکار
54,38,,,,,,,,,,,,جنوبی,اجرنما,موزاییک,فلز,1,1, یک خواب بالا  یک خواب پایین  معرف میثم جلالی  با تانک و پمپ  با گلخانه  
55,27,,,,,,,,,,,,جنوبی,,,,,,همکار
56,27,,,,,,,,,,,,شرقی,,,,,,همکار  با پروانه ساخت
57,4040,108,2,آپارتمان,فلکه بسیج,فلکه بسیج-کوچه دهقان-مجتمع ونوس-طبقه دوم-واحد4,,,2,2,1٫78E+09,بتونی,شمالی,اجرنما,سرامیک,MDF,1,,برگه قیمت: ابراهیم پورنمازیان  تاریخ:1401/8/1
58,4141,280,NULL,انبار,جاده فولادشهر,روبرو هنرستان پارسا-کنار رستوران قصر نور,,,,,,بتونی,شرقی,,,,,1,سوئیت کامل-دفترکار-5 مغازه-سرویس دستشویی و حمام-فاز کشاورزی
59,4242,132,NULL,زمین,خیابان معرفت,معرفت.گلستان.سمت چپ .سمت راست.کوچه گل یاس  چسبیده به اخرین منزل شمالی,درست,,,,1٫40E+09,,شمالی,,,,,,ابعاد 16.5*8
60,4343,80,4,آپارتمان,خیابان 17 شهریور شرقی,آدرس: 17 شهریورشرقی-قبل از کشاورز-مجتمع آسمان,درست,,,2,1٫75E+09,بتونی,شمالی,اجرنما,سرامیک,MDF,1,,معرف مهران ایمانیان  صفر نوساز  بدون فیلم و عکس  معاوضه با هر ملک به جز باغ  بدون کاغذ قیمت  تخفیف 100 میلیون
61,9,,,,,,,,,,,,شمالی,,,,,,200متر با امکانات فاصله داره
62,4444,230,NULL,ویلایی,خیابان رجایی جنوبی,رضایی جنوبی کوی بارفروش بعد از چهارراه خونه سومی,درست,,,2,,آهن,جنوبی,اجر زبره,موزاییک,فلز,1,1,اهن و اجر  به اضافه سویت زیرزمین مسکونی حیاط دار 
63,4545,193,NULL,ویلایی,خیابان باهنر جنوبی,خیابان باهنرجنوبی-خیابان قدس-پلاک61-نبش بن بست هدایت,درست,3,,5,7٫45E+09,بتونی,شمالی شرقی,سنگ,سرامیک,MDF,1,1,معرف آقای محمدی و شماره تماس از ایشان  دو طبقه اول دو خواب  طبقه سوم بهار خواب   
64,9,,,,,,,,,,,,شمالی,اجرنما,سرامیک,MDF,1,1,بدون کاغذ قیمت  بازسازی در حد صفر
65,9,,,,,,,,,,,,شمالی,,,,,,برق و گاز پیش زمین  بدون کاغذ قیمت
66,4646,130,1,ویلایی,خیابان آیت الله منتظری شمالی,خیابان منتظری شمالی-کوچه پامچال-پلاک سوم جنوبی,,,,2,2٫55E+09,بتونی,جنوبی,اجرنما,سرامیک,MDF,1,,کناف کاری  نوساز  بدون کاغذ قیمت  1 خواب سرپله  
67,4747,135,NULL,زمین,شهدا غربی,بلوار شهدای غربی-بعد از خیابان کشاورز-بن بست 6 متری جنوبی,,,,,8٫10E+08,1600000000,جنوبی,,,,,,معرف گچی  با کاغذ قیمت:املاک متین
68,4848,1000,NULL,زمین,ویلاشهر,ویلاشهر-پارک کبیرزاده-انتهای کانال-کوچه حاج صادقیان,,,,,1٫90E+09,2550000000,شمالی,,,,,,نیم ساعت آب چاه  نیم ساعت آب کانال  دو طرف دیوار کاه گلی  چهار دیواری با درب  سند تک برگ
69,4949,251,1,ویلایی,خیابان دلگشا,خیابان دلگشا-کوچه شفیعی-بن بست اول-سمت چپ,,,,2,2٫20E+09,کلنگی,جنوبی,کاهگلی,موزاییک,,,1, مناسب برای انبار  بدون کاغذ قیمت
70,5050,260,NULL,زمین,شهرک سعیدفر,شهرک سعیدفر-کوچه نگین-آخرکوچه-سمت چپ,,,,,1٫26E+09,1900000000,شمالی,,,,,,بدون کاغذ قیمت  سند تک برگ
71,5151,175,2,ویلایی,خیابان شریعتی غربی,خیابان شریعتی غربی-خیابان کشاورز-کوی اطلس-پلاک7,,,,2,3٫33E+09,بتونی,شمالی,اجرنما,موزاییک,فلز,1,1,برگه کارشناسی از ابراهیم عبدالعظیمی  پکیج  معاوضه با ویلاشهر یا منتظری شمالی  بدون عکس و فیلم
72,5252,148,NULL,زمین,خیابان شریعتی شرقی, خیابان شریعتی شرقی-خیابان آبشار-کوی اردیبهشت شرقی-12 متری-زمین جنوبی,درست,,,,1٫42E+09,1255000000,جنوبی,,,,,,با امکانات  با کاغذ قیمت(خانیان)
73,52,,,,,,,,,,,,جنوبی,,,,,,با امکانات  کاغذ قیمت(خانیان)
74,5353,105,2,ویلایی,شهدا غربی,خیابان شهداغربی-بالاتر از باهنر-نبش کوچه پونه,درست,,,1,1٫87E+09,بتونی,شمالی,اجر زبره,موزاییک,فلز,1,1, معرف میثم جلالی  با تراس  معاوضه با زمین  با کاغذ قیمت
75,5454,224,NULL,ویلایی,شیخ بهایی جنوبی, خیابان شیخ بهایی جنوبی-بن بست نیک مهر  پلاک 1و7 شمالی جنوبی,درست,3,,3,8٫00E+09,بتونی,شمالی جنوبی دو کله,اجرنما,سرامیک,MDF,1,1,سه طبقه  طبقه سوم سفت کاری  معرف میثم جلالی  کولر آبی  آیفون تصویری  با کاغذ قیمت
76,5555,413,NULL,باغ,بلوار ایزدی,بلوار ایزدی-کوچه رودکی-پلاک155-نبش کوچه 8 متری,,,,,3٫57E+09,1264000000,شرقی,کاهگلی,موزاییک,MDF,,1,30 دقیقه آب چاه  پمپ استخر  شومینه  توالت  انباری  تخفیف نقدی  آبنما  معاوضه  تسویه حساب شهرداری  با کاغذ قیمت:ابراهیم پورنمازیان
77,5656,163,NULL,زمین,خیابان 15 خرداد شمالی,خیابان 15 خرداد شمالی-کوچه سمندری,,,,,9٫78E+08,7997350000,جنوبی,,,,,,کوچه 8 متری-طرح باغات  یه پلاک قبل مغازه ها  بدون کاغذ قیمت
78,5757,524,NULL,ویلایی,خیابان رجایی جنوبی,خیابان رجایی جنوبی-کوچه شهید کارشناس-پلاک 10 شمالی,,,,4,7٫51E+09,آهن,شمالی,سنگ و آجر,موزاییک,فلز,1,1,دو خواب در طبقه اول دو خواب سر پله  زیرزمین  دو کولر  موکت و پرده  بدون عکس و فیلم  با کاغذ قیمت: ابراهیم پورنمازیان
79,5858,138,NULL,ویلایی,خیابان معرفت,خیابان معرفت-بن بست سروش-پلاک3جنوبی,,,,3,3٫47E+09,نیمه اسکلت,جنوبی,اجرنما,موزاییک,آلمینیوم,1,1,دو خواب سرپله  با تسویه شهرداری  بالابر  با کاغذ قیمت: مهدی خانیان  بدون عکس و فیلم  
80,5959,150,NULL,ویلایی,خیابان آیت الله منتظری جنوبی,خیابان منتظری جنوبی-قبل از چهارراه گلبهار-بن بست پوراسماعیلی,,,,,1٫80E+09,7509192500,شمالی,,,,,,کلنگی(قابل سکونت)  2 متر عقب نشینی  معرف امید مرادی  بدون کاغذ قیمت  بدون عکس و فیلم
81,9,,,,,,,,,,,,شمالی,سنگ,سرامیک,های گلاس,,1,بدون کاغذ قیمت      ده دقیقه آب  با مجوز  استخر-کف خواب-کولرگازی-سرویس بهداشتی و حمام  کاغذ دیواری  آب انبار زیر ساخت  1 خواب  
82,27,,,,,,,,,,,,شمالی,,,,,,همکار  بدون کاغذ قیمت  با پروانه با سند و امتیازات
83,6060,180,NULL,زمین,صالح آباد,صالح آباد-خیابان منتظری جنوبی-100 متری فلکه گلها,,,,,8٫00E+08,6200000000,شمالی,,,,,,نقدی تخفیف دارد  بدون کاغذ قیمت
84,6161,1550,NULL,باغ,جلال آباد,جلال آباد-میانکوه-از توابع چاه جلالی,,,,1,3٫43E+09,3200000000,جنوبی,,پارکت,MDF,1,1,برق فرعی  با کاغذ قیمت  دیوار کشی  امکانات منزل  22/5 دقیقه آب  قابل معاوضه  پمپ و استخر  انباری  ساخت و کابینت  سیستم حفاظتی  با عکس و بدون فیلم
85,6262,50,NULL,تجاری,خیابان شریعتی شرقی,خیابان شریعتی-نبش کوچه پارسا,درست,,,,,نوساز,شمالی,سنگ,سرامیک,,,1,دو نبش  کف و دیوار سرامیک  سقف تایل  چهاردهانه برقی  بر خیابان اصلی
86,62,,,,,,,,,,,,شمالی,,,,,,دهانه 6 متری  پلاک دوم داخل کوچه  شیک و سرامیک  
87,6363,180,1,ویلایی,خیابان شهدا,خیابان شهدا-کوچه حکیم صناعی-کوچه میثاق-پلاک39,,,,2,2٫38E+09,بتونی,جنوبی,سنگ,سنگ,MDF,1,1,3دانگ و قابل تفکیک  18 پله دارد  نوساز  بدون کاغذ قیمت  معاوضه با زمین قابل ساخت
88,60,,,,,,,,,,,,جنوبی,سنگ,موزاییک,آلمینیوم,1,1,با کاغذ قیمت(مهدی خانیان - 1401/8/30 4.500)  قیمت مربوط به سال 1400  پکیج و دزدگیر و کولر  1 خواب سرپله  دو خواب همکف  معاوضه تا 6 میلیارد (مرکز شهر و شمال شهر)
89,6464,125,1,ویلایی,خیابان 15 خرداد شمالی,خیابان 15 خرداد شمالی-کوی رحیمی-پلاک17,درست,,,2,2٫53E+09,نوساز,شمالی,سنگ,سرامیک,MDF,1,1,با کاغذ قیمت:بهزاد سلیمانی  معاوضه با خانه کلنگی در 15 خرداد شمالی  پایان کار  پکیج و آیفون تصویری و هود
90,6565,1000,NULL,باغ,بلوار خرمشهر,بلوارخرمشهر-بعد از پمپ بنزین-کانال خاکی,,,,2,4٫20E+09,4500000000,غربی,سیمان سیاه,موزاییک,سنگ و فلز,,1,برق فرعی-استخر-1 ساعت آب چاه-ساخت90متری-دو خواب-حمام و سرویس بهداشتی-150 اصله درخت-دو پمپ  با کاغذ قیمت
91,6666,1400,NULL,باغ,گلدشت,گلدشت-خیابان منتظری-ماهان29-خیابان بهاران,,,,,5٫30E+09,2525320000,شمالی,اجرنما,موزاییک,MDF,1,1,آب چاه 42 دقیقه-آب کانال25دقیقه-گازفرعی-برق تجاری-جدول بندی-فضای سبز-استخر-دوتا ساخت-آب نما-کولر-آب انبار-باربیکیو-معاوضه با منزل 3خوابه-با دفترچه کشاورزی- بدون کاغذ قیمت-آب انبار 4/5*10/5*4/5
92,6767,720,NULL,باغ,ویلاشهر,ویلاشهر-بلوار معلم-خیابان وحدت,,,,1,3٫53E+09,4200000000,شمالی,سیمان سیاه,موزاییک,MDF,,1,با کاغذ قیمت-سندمشا-جدول بندی-فضای سبز-کباب پز-اسباب بازی-اسپیلیت-دوربین-دزدگیر-درب برقی-استخر-30 دقیقه آب-واترپمپ-تانک آب-برق فرعی
93,6868,237,NULL,ویلایی,خیابان دانش,خیابان دانش-کوی توکلی-پلاک13,درست,,,2,2٫85E+09,کلنگی,شمالی,اجرنما,موزاییک,فلز,,1,قابل سکونت-طاق چشمه ای-با کاغذ قیمت
94,6969,60,NULL,تجاری,خیابان آیت الله منتظری شمالی,خیابان منتظری شمالی-نبش کوچه امینی-جنب املاک ملک گستر,درست,,,,,نوساز,غربی,سنگ,سرامیک,,,1,سه پله ورودی-+60 
95,7070,80,NULL,ویلایی,,خیابان سعدی-بعداز چهارراه چراغ قرمز-نبش کوچه زمانی,درست,,,1,,2851000000,جنوبی,اجرنما,موزاییک,فلز,,,ساختمان 3 واحدی-طبقه اول دو واحدی - ورودی مشترک -تمیز - پارکینگ موتور
96,7171,140,NULL,ویلایی,,شهرک سعیدفر-کوی میثم - بعد از مسجد,درست,,,2,,,جنوبی,اجرنما,سرامیک,فلز,,,تراس - راه مجزا - طبقه دوم - پشت بام
97,7272,367,NULL,زمین,بوستان زندگی,بر خیابان بوستان زندگی غربی - بعد از کوی تالار فردوس - پلاک جنوبی,,,,,2٫51E+09,,جنوبی,,,,,,دیوار کشی - با کاغذ قیمت (خانیان)
98,7373,156,NULL,زمین,بلوار جمهوری,بلوار جمهوری - کوچه باغ طالب - کوچه4متری-یکطرف جدید,,,,,9٫98E+08,,شمالی,,,,,,شماره تماس و معرف آقای گچی  کاربری باغ  با کاغذ قیمت(ابراهیم پورنمازیان)
99,7474,209,NULL,ویلایی,گلبهار غربی,بر خیابان گلبهار غربی - قبل از تقاطع 15 خرداد - نبش کوی نقی - پلاک 2 جنوبی شرقی,,,,3,2٫36E+09,آهن,جنوب شرقی,اجرنما,,,1,1,معرف و شماره تماس: میثم جلالی  تسویه شهرداری  سند 6 دانگ  بدون فیلم و عکس  با کاغذ قیمت(مهدی خانیان)  مثل خانه قدیمی و آفتاب رو دارد
100,7575,145,NULL,ویلایی,خیابان فرخی,خیابان فرخی - کوچه ناهید - پلاک یک دوم شمالی - کوچه 8 متری,,2,,4,3٫73E+09,بتونی,شمالی,اجرنما,موزاییک,سنگ و فلز,1,1,طبقه اول یک خواب  طبقه دوم دو خواب  یک بهار خواب  قابل معاوضه با خانه هواری  برگه شهرداری  دوکولر-آیفون تصویری-دزدگیر  کاغذ قیمت(ابراهیم پورنمازیان)
101,7676,31,NULL,تجاری,خیابان سعدی,خیابان سعدی - نرسیده به شکیب - نبش شمال غربی -بن بست نرگس پلاک 230 ,,,,,1٫05E+09,2361000000,شمال غربی,,,,,,معاوضه با زمین تا 800 میلیون  معاوضه با منزل تا یک میلیارد و پانصد میلیون  با کاغذ قیمت(مهدی پورنمازیان - 1401/8/9)  بدون عکس و فیلم
102,76,,,,,,,,,,,,شمال غربی,,,,,,معاوضه با زمین تا 800 میلیون و منزل تا یک میلیارد و پانصد ومان - کاغذ قیمت از مهدی پورنمازیان به تاریخ: 1401/8/9   بدون فیلم و عکس
103,7777,740,NULL,باغ,قلعه سفید,آخر جاده قلعه سفید (مسجد)- سمت چپ - آخر جاده سمت چپ - باغ سمت راست,,,,,2٫10E+09,1052600000,شرقی,,,,,,آب کانال 45 دقیقه  آب چاه 30 دقیقه  درخت آلوچه  دیوارکشی دارد  ساخت ندارد  بدون کاغذ قیمت  بدون فیلم و عکس  
104,7878,118,NULL,ویلایی,خیابان 15 خرداد شمالی,خیابان 15 خردادشمالی - کوی ایمان - بن بست اول شمالی - پلاک25 شمالی,,2,,2,2٫40E+09,1126800000,شمالی,اجرنما,موزاییک,MDF,,1,با تسویه شهرداری  با کاغذ قیمت(مهدی خانیان - 1401/8/10  معاوضه با همکف  یک خواب بالا  یک خواب پایین
105,7979,184,NULL,زمین,ارگ شیخ بهایی,پشت ارگ,,,,,2٫00E+09,2100000000,شمالی,,,,,,کوچه ده متری  بدون کاغذ قیمت  همکار
106,8080,657,NULL,باغ,,بلوار جانبازان ضلع جنوبی، بعد از پلیس راه، کوچه زاگرس، کوچه جنب شرکت پیشرودیزل آسیا,,,,,3٫63E+09,آهن,جنوبی غربی,سیمان سیاه,موزاییک,فلز,1,1,3 خواب همکف - یک خواب سرپله  با کاغذ قیمت(مهدی خانیان - 1401/8/29)  با تسویه شهرداری  با گلخانه  قبل فروش باید خانه خریداری کنند و بعد بفروشند    
107,8181,120,2,آپارتمان,خیابان آیت الله منتظری شمالی,خیابان منتظری شمالی - خرم غربی - جنب افق کوروش,درست,,,2,,بتونی,جنوبی,اجرنما,سرامیک,MDF,,,پارکینگ موتور  پکیج  ساختمان سه واحدی  15 پله  کمد دیواری  ورودی مشترک
108,8282,150,NULL,ویلایی,خیابان معرفت,خیابان معرفت - کوچه ذبحی- بعدازچهرراه سعدی - آخرین منزل جنوبی,,,,2,3٫80E+09,نوساز,جنوبی,سنگ,سرامیک,های گلاس,1,1,درب ضد سرقت  فول کناف  سیستم کولر گازی بدون کولر  بدون تلفن  خیابان 14 متری  حمام مستر  کمد دیواری در دو اتاق  بدون کاغذ قیمت  همکار امید  8/70*17/20  تکمیل شده و کامل
109,82,,,,,,,,,,,,جنوبی,سنگ,سرامیک,های گلاس,1,1,درب ضد سرقت  فول کناف  سیستم کولرگازی بدون کولر  خیابان 14 متری  حمام مستر  کمد دیواری برا هر اتاق  بدون کاغذ قیمت  همکار امید  تکمیل شده و کامل
110,83,135,2,ویلایی,,خیابان فرخی - کوی سعادت - منزل 10 جنوبی ,,,,2,,,,,,,,,
111,84,135,2,ویلایی,,خیابان فرخی - کوی سعادت - منزل 10 جنوبی ,,,,2,,,,,,,,,
112,85,135,2,ویلایی,,خیابان فرخی - کوی سعادت - منزل 10 جنوبی ,,,,2,,,,,,,,,
113,86,135,NULL,ویلایی,,خیابان فرخی - کوی سعادت -منزل 10 جنوبی,,2,,2,,,,,,,,,
114,87,135,NULL,ویلایی,,خیابان فرخی - کوی سعادت -منزل 10 جنوبی,,2,,2,,,,,,,,,
115,88,135,NULL,ویلایی,,خیابان فرخی - کوی سعادت -منزل 10 جنوبی,,2,,2,,,,,,,,,
116,89,135,NULL,ویلایی,,خیابان فرخی - کوی سعادت -منزل 10 جنوبی,,2,,2,,,,,,,,,
117,90,135,NULL,ویلایی,,خیابان فرخی - کوی سعادت -منزل 10 جنوبی,,2,,2,,,,,,,,,
118,91,135,NULL,ویلایی,,خیابان فرخی - کوی سعادت -منزل 10 جنوبی,,2,,2,,,,,,,,,
119,92,135,NULL,ویلایی,,خیابان فرخی - کوی سعادت -منزل 10 جنوبی,,2,,2,,,,,,,,,
120,93,135,NULL,ویلایی,,خیابان فرخی - کوچه سعادت - منزل 10 جنوبی,,2,,2,,,,,,,,,
121,94,135,NULL,ویلایی,,خیابان فرخی - کوچه سعادت - منزل 10 جنوبی,,2,,2,,,,,,,,,
122,95,135,NULL,ویلایی,,خیابان فرخی - کوچه سعادت - منزل 10 جنوبی,,2,,2,,,,,,,,,
123,96,135,NULL,ویلایی,,خیابان فرخی - کوچه سعادت - منزل 10 جنوبی,,2,,2,,,,,,,,,
124,97,135,NULL,ویلایی,,خیابان فرخی - کوچه سعادت - منزل 10 جنوبی,,2,,2,,,,,,,,,
